"Code","Name","Value","ValueTypeName"
BPMSoftOCCIsAllChatHistory,BPMSoftOCCIsAllChatHistory,"",Boolean
BPMSoftOCCIsAllChatHistory,BPMSoftOCCIsAllChatHistory,"",Boolean
BPMSoftOCCKnowledgeBaseLength,BPMSoftOCCKnowledgeBaseLength,"",Integer
BPMSoftOCCOperatoHost,"",https://bpmsoft-oc-connector1.cloudbpm.ru,MaxSizeText
BPMSoftOCCOperatorAppId,BPMSoftOCCOperatorAppId,"",Text
BPMSoftOCCOperatorToken,"","",LongText
BPMSoftOCCServices,BPMSoftOCCServices,https://bpmsoft-oc-connector1.cloudbpm.ru/services/{0},LongText
BPMSoftOCCServices,BPMSoftOCCServices,https://bpmsoft-oc-connector1.cloudbpm.ru/services/{0},LongText
BPMSoftOCCUseFtp,BPMSoftOCCUseFtp,"",Boolean
BPMSoftOCCUseObsoleteWhatsAppApi,"","",Boolean
BpmsQueryBuilderMaxExportRecordsCount,Максимальное количество экспортируемых записей логов и результата SQL-запросов,"",Integer
BpmsQueryBuilderMaxSavedQueriesCount,Максимальное количество сохраненных SQL запросов.,"",Integer
BpmsServiceTimeout,Таймаут для сервисов конструктора запросов (мс),"",Integer
BPSysCustomerIdentification,Business process: Customer identification by system,SysCustomerIdentificationProcess,ShortText
BuildThreadsAmount,Number of Angular module compilation threads,"",Integer
BuildType,BuildType,"",Lookup
BuildType,BuildType,"",Lookup
BulkEmailExpirationPeriod,Время актуальности отправки рассылки (минуты),"",Integer
BulkEmailFailoverJobInterval,Периодичность запуска процесса восстановления зависших рассылок (минуты),"",Integer
BulkEmailHourlyStatisticPeriod,"Интервал сбора статистики по рассылкам Email, часов","",Integer
CallRecordLogin,Логин для получения записи звонка,"",MediumText
CallRecordPassword,Пароль для получения записи звонка,"",SecureText
CallRecordToken,Токен для получения записи звонка,"",SecureText
CampaignElementAudienceQueryBatchSize,Размер пачки для запроса при работе с большой аудиторией,"",Integer
CampaignFailoverJobInterval,Schedule interval of the campaign failover job (minutes),"",Integer
CampaignGarbageLifeTime,"Lifetime of campaign garbage (unlinked entities, suspended participants info etc.)","",Integer
CampaignLogRecordLifeTime,Срок жизни записей журнала кампании,"",Integer
CampaignQueueMonitoringLoopsCount,Число циклов для CampaignQueueMonitoring,"",Integer
CampaignQueueSingleBatchSize,"Размер пакета, при чтении из очереди CampaignQueue","",Integer
CampaignSignalQueueSingleBatchSize,"Размер пакета, при чтении из очереди CampaignSignalQueue","",Integer
CampaignSyncJobPocessInterval,"Интервал актуализации аудитории кампании, часов","",Integer
CampaignTriggeredQueueTimeout,Максимальная задержка в очереди на обработку для участника кампании (минуты),"",Integer
CanCollectMobileUsageStatistics,Statistical data collection for anonymous application usage,"",Boolean
CartographicServicesApiKey,API ключ картографических сервисов,,SecureText
CaseClosureCodeDef,Код закрытия обращения по умолчанию,"",Lookup
CaseClosureCodeDef,Код закрытия обращения по умолчанию,"",Lookup
CaseCodeMask,Маска номера обращения,SR{0:00000000},ShortText
CaseGroupDef,Группа обращения по умолчанию,"",Lookup
CaseImpactDef,Case default impact,"",Lookup
CaseLastNumber,Текущий номер обращения,"",Integer
CaseOriginDef,Происхождение обращения по умолчанию,"",Lookup
CaseOriginDef,Происхождение обращения по умолчанию,"",Lookup
CaseOverduesCheckTerm,"Срок проверки просроченности обращения, минут","",Integer
CaseOverduesCheckTerm,"Срок проверки просроченности обращения, минут","",Integer
CasePortalMessageMultiLanguageProcess,Мультиязычный процесс Отправка email сообщения контакту обращения при публикации сообщения в канале Портал,"",Lookup
CasePriorityCalculationFromMatrix,Сase priority calculation from matrix,"",Boolean
CasePriorityDef,Приоритет обращения по умолчанию,"",Lookup
CasePriorityDef,Приоритет обращения по умолчанию,"",Lookup
CaseServiceLevelDef,Уровень поддержки обращения по умолчанию,"",Lookup
CaseServiceLevelDef,Уровень поддержки обращения по умолчанию,"",Lookup
CaseStatusDef,Состояние обращения по умолчанию,"",Lookup
CaseStatusDef,Состояние обращения по умолчанию,"",Lookup
CaseUrgencyDef,Case default urgency,"",Lookup
CashflowCodeMask,Маска номера операции,{0},ShortText
CashflowLastNumber,Текущий номер операции,"",Integer
ChangeCategoryDef,Категория изменения по умолчанию,"",Lookup
ChangeCodeMask,Маска номера изменения,CR-{0},MediumText
ChangeLastNumber,Текущий номер изменения,"",Integer
ChangePriorityDef,Приоритет изменения по умолчанию,"",Lookup
ChangePurposeDef,Цель изменения по умолчанию,"",Lookup
ChangeSourceDef,Источник изменения по умолчанию,"",Lookup
ChangeStatusDef,Состояние изменения по умолчанию,"",Lookup
ChartQueryDataLimit,Chart data request restriction,"",Integer
CheckTermsAndConditions,Request consent to privacy terms and conditions from the portal users,,Boolean
ChurnCalculationRequiredSystemDaysQuantity,Required number of days in the system to calculate churn potential degree,"",Integer
CKEditorDefaultFont,CKEditor default font,Golos Regular,Text
CKEditorFontsList,CKEditor font list,"Arial/Arial, Helvetica, sans-serif;Comic Sans MS/Comic Sans MS, cursive;Courier New/Courier New, Courier, monospace;Georgia/Georgia, serif;Golos Regular/Golos Regular, serif;Lucida Sans Unicode/Lucida Sans Unicode, Lucida Grande, sans-serif;Tahoma/Tahoma, Geneva, sans-serif;Times New Roman/Times New Roman, Times, serif;Trebuchet MS/Trebuchet MS, Helvetica, sans-serif;Verdana/Verdana, Geneva, sans-serif",Text
ClearAssigneeOnCaseReopening,Очищать ответственного при переоткрытии обращения,"",Boolean
CloseChatMessageText,CloseChatMessageText,Чат закрыт.,MaxSizeText
CloseResolvedCases,Автоматически закрывать решенные обращения,"",Boolean
CloseTelephonyConnectionOnLogout,Close telephony connection on logout,"",Boolean
CloudServicesAPIKey,API ключ облачных сервисов BPMSoft,"",ShortText
CloudServicesAuthKey,Cloud service authenticate key,"",Text
CloudServicesBaseUrl,URL подключения к облачным сервисам BPMSoft,"",Text
CodeCompilerWarningLevel,Display C# compiler warnings when publishing configuration,"",Integer
CollectMobileAppUsageStatistics,Enable gathering mobile application usage statistics,"",Boolean
CommunicationHistoryRowCount,"Number of records on the ""Calls history"" tab","",Integer
ConfigurationItemStatusDef,Состояние конфигурационной единицы по умолчанию,"",Lookup
ConfigurationVersion,Configuration version,"1.9.0.14114",ShortText
ConnectEmailsByCaseNumberInBody,Привязывать письма к обращения по номеру обращения в теле письма,"",Boolean
ConnectorPackageUrl,"Url-адрес хранилища пакета ""Интеграция с 1С""","",Text
ContactCenterOperatorsFolder,Группа операторов КЦ,"",Lookup
ContactFieldConverter,Order of first/last names,"",Lookup
ContractCodeMask,Маска номера договора,{0},LongText
ContractLastNumber,Текущий номер договора,"",Integer
ContractVisaEmailTemplate,Шаблон Email для отправки информации о визе договора,"",Lookup
ContractVisaProcess,Процесс визирования договора,"",Lookup
ConvertServiceUrl,ConvertServiceUrl,"",MediumText
CreateAccountOnQualification,Создавать нового контрагента при квалификации лида,"",Boolean
CreateCasesFromJunkEmails,Создавать обращения по нежелательным письмам,"",Boolean
CreateInvoiceFromOrderProcess,Процесс создания счета на основании заказа,"",Lookup
CreateLeadForOpportunity,Создать лид по продаже,"",Boolean
CreateLeadForOrder,Создавать лиды для заказов,"",Boolean
CreateNewContactsForUnknownEmailAddresses,Создавать контакты по неопознанным email-адресам,"",Boolean
CreateOpportunityFromLeadProcess,Процесс создания продажи на основании лида,"",Lookup
CreateOrderFromOpportunityProcess,Процесс создания заказа на основании продажи,"",Lookup
CreateUsersAutomaticallyWhenLdapSynchronize,Create users automatically when synchronizing with LDAP,"",Boolean
CSVCodePage,"Encoding used for export to "".csv""",utf-8,LongText
CSVDelimiter,"Separator used for export to "".csv""",;,Text
CurrentPackageId,Current package,"",Lookup
CurrentSettingStep,"","",Integer
CurrentSettingStep,"","",Integer
CustomerId,ID компании для лицензирования,"202308044265",LongText
CustomerId,ID компании для лицензирования,"111",LongText
CustomerId,ID компании для лицензирования,"202308044265",LongText
CustomerId,ID компании для лицензирования,"202308044265",LongText
CustomPackageUId,Custom Package Id,"",Lookup
DaDataAPIKey,API ключ DaData,"",SecureText
DataServiceQueryTimeout,Data service client query timeout (milliseconds),"",Integer
DCEnabledStrategies,Стратегия распределения получателей динамического контента,"",Integer
DCMaxFiltersCountForCombiningStrategy,Максимальное число фильтров для DCCombiningStrategy,"",Integer
DeduplicationWebApiUrl,Deduplication service api address,"",MediumText
DefaultAccountCommunicationType,Account communication option type by default,"",Lookup
DefaultAccountCommunicationType,Account communication option type by default,"",Lookup
DefaultActionsDashboardStageItemColor,Default color for action dashboard stage item,#8ecb60,ShortText
DefaultCartographicServicesLibrary,Библиотека картографического сервиса по умолчанию,,Lookup
DefaultCaseCategory,Категория обращения по умолчанию,"",Lookup
DefaultCaseCategoryForPortal,Default category for registering a free-form case,"",Lookup
DefaultContactCommunicationType,Default type of contact communication options,"",Lookup
DefaultESPEmail,Default ESP email,"",ShortText
DefaultExternalAccessClient,Default external access client,"",Lookup
DefaultExternalAccessClientId,Default external access client id,"",ShortText
DefaultExternalAccessDurationDays,Default external access duration in days,"",Integer
DefaultIntroPage,Default main page,TeamIntro,Lookup
DefaultIntroPage,Default main page,"",Lookup
DefaultIntroPage,Default main page,"",Lookup
DefaultLeadStage,Стадия лида по умолчанию,"",Lookup
DefaultMapService,Maps service by default,"",Lookup
DefaultMessageLanguage,Default language for messages,"",Lookup
DefaultNotifyContactInCase,Notification of the service user as the point of contact for case,"",Boolean
DefaultNotifyInitiatorInCase,Notification of the initiator as the point of contact for case,"",Boolean
DefaultNumberItemsReturned,Number of records not deleted in a background process,"",Integer
DefaultSectionPanelBackgroundColor,Section panel background by default,#ffffff,ShortText
DefaultSectionPanelFontColor,Text in section panel by default,#67748E,ShortText
DefaultSectionPanelSelectedBackgroundColor,Selected section background by default,#F9763D,ShortText
DefaultSectionPanelSelectedFontColor,Text in selected section by default,#252F40,ShortText
DefaultServiceForPortal,Default service for free-form case registration,"",Lookup
DefaultServicePact,Сервисный договор по умолчанию,"",Lookup
DefaultServicePact,Сервисный договор по умолчанию,"",Lookup
DefaultTax,Tax by default,"",Lookup
DefaultTimeZone,Default TimeZone,"",Lookup
DefaultUnit,Единица измерения по умолчанию,"",Lookup
DefaultWebFormContactIdentificationProcess,Default web form contact identification process,"",Lookup
DefaultWorkspace,Default workspace,"",Lookup
DefineCaseCategoryFromMailBox,Включить взаимосвязь почтовых ящиков поддержки и категорий обрабатываемых обращений,"",Boolean
DefLookupEditPageSchemaUId,Base lookup card page,"",Lookup
DefLookupGridPageSchemaUId,Base lookup page,"",Lookup
DelayedNotificationCleaningExecutionPeriod,"Частота вызова очистки отложенных уведомлений, минут","",Integer
DelayedNotifyingExecutionPeriod,Частота отправки уведомлений на оценку обращений (минут),"",Integer
DetailsConfig,Details config,"",MaxSizeText
DisableQueueFillingScheduler,Отключить планировщик наполнения очередей,"",Boolean
DisplayAccountLockoutMessageAtLogin,Show message about locking account during logging in,"",Boolean
DisplayIncorrectPasswordMessageAtLogin,Show message about incorrect password during logging in,"",Boolean
DocumentCodeMask,Маска номера документа,{0},LongText
DocumentLastNumber,Текущий номер документа,"",Integer
DocumentStatusDef,Состояние документа по умолчанию ,"",Lookup
DomainToRedirect,Domain to redirect,,MediumText
DropdownRecordsLimit ,Number of records in the dropdown list,"",Integer
EmailBodyForCaseMaxLength,Максимальная длина тела письма при создании обращения по e-mail,"",Integer
EmailMiningIdentificationActualPeriod,Relevance period of contact and account identification data (days),"",Integer
EmailMiningPackageSize,Email package size handled by enrichment process,"",Integer
EmailMiningPeriodMin,Enrichment process launch frequency (minutes),"",Integer
EmailPattern,Email address mask,[а-яА-Яa-zA-Z0-9!#$%&'*+/=?^_`{|}~-]+(?:\.[а-яА-Яa-zA-Z0-9!#$%&'*+/=?^_`{|}~-]+)*@(?:[а-яА-Яa-zA-Z0-9](?:[а-яА-Яa-zA-Z0-9-]*[а-яА-Яa-zA-Z0-9])?\.)+[а-яА-Яa-zA-Z0-9](?:[а-яА-Яa-zA-Z0-9-]*[а-яА-Яa-zA-Z0-9])?,Text
EmailProcessTag,Email processes tag,Email Process,Text
EmailServiceName,Email service name,"",MediumText
EmployeeCityDef,Город для сотрудника по умолчанию,"",Lookup
Enable2FA,Использовать 2FA,"",Boolean
EnableAngularSupport,Enable support for Angular modules,"",Boolean
EnableAutoCompleteDaData,Включить автозаполнение полей DaData,"",Boolean
EnableComplainFunction,Включить возможность пожаловаться на портале,"",Boolean
EnableComplainFunction,Включить возможность пожаловаться на портале,"",Boolean
EnableContextHelp,Show help,"",Boolean
EnableContextHelp,Show help,"",Boolean
EnableDynamicVector,Enabling Dynamic Vector,"",Boolean
EnableEmailIndicatorMonitoring,Включить возможность мониторинга показателей состояния email-рассылок.,"",Boolean
EnableEmailMining,Enable enrichment of contacts from the incoming emails,"",Boolean
EnableLoggingGatewaysFlows,Logging of gateways and flows in business processes,,Boolean
EnableMobileErrorLog,Enable mobile app error log,"",Boolean
EnableProcessMetrics,Metric for completing process steps,"",Boolean
EnableQuestionToRequestor,Включить вопрос пользователю,"",Boolean
EnableReSynchronizationMechanism,"","",Boolean
EnableRightsOnServiceObjects,Включение прав на сервисные договоры и конфигурационные единицы для пользователей портала,"",Boolean
EnableUserMetrics,Metrics about the users,"",Boolean
EnableWebHooksLogging,Включить логирование получаемых webhooks,"",Boolean
EnrichmentEmailsLimit,Email enrichment limit,"",Integer
EnrichmentPhoneNumbersLimit,Phone number enrichment limit,"",Integer
EnrichmentSocialLinksLimit,Social links enrichment limit,"",Integer
EventTrackingApiKey,API-ключ трекинга,"",MediumText
EventTrackingCodeTemplate,Шаблон кода трекинга,"<script type=""text/javascript"" src=""http://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js""></script> <script type=""text/javascript"">                 (function (d, s, i, r) {                                if (d.getElementById(i)) { return; }                                var n = d.createElement(s); e = d.getElementsByTagName(s)[0]; n.id = i;                                n.src = ""https://webtracking-v01.bpmcrm.com/Src/tracking_"" + r + "".js""; e.parentNode.insertBefore(n, e);                 })(document, ""script"", ""bpmTracking"", ""{apiKey}""); </script>",LongText
EventTrackingLogin,Параметры подключения к сервису трекинга Bpmcrm: логин,Supervisor,MediumText
EventTrackingPassword,Параметры подключения к сервису трекинга Bpmcrm: пароль,Pzrlgm1m1ufrAp64wJcGtRbJDaL7VnMSDXGdMP4Mey+q8bG1krJBqnNp2pxb/Q3JuXTG4SChXazhSypJCRJVuu8Cyg93S5HSzsFHBGVaPU0=,SecureText
EventTrackingWebAppUrl,URL сервиса трекинга Bpmcrm,https://someexisteddomain.ru,Text
ExcelExportBatchSize,Number of records in Excel export batch,"",Integer
ExchangeAutodiscoverRedirectUrlRegex,Exchange Autodiscover Redirection Url Regex,"",Text
ExchangeListenerServiceUri,ExchangeListenerServiceUri, http://10.1.134.133:10000,Text
ExecuteAngularNpmInstallCommand,Run npm install command for Angular modules,"",Boolean
ExpiredTaskColor,Color of overdue activity,#FFDFDF,LongText
ExpireLicenseNotificationTerm,Term of expired license notification,"",Integer
ExportToExcelFallbackCharacter,Replacement symbol for invalid characters when exporting to Excel,"",ShortText
ExternalAccessSessionNotificationEnabled,Notify grantor about start/end session using external access,"",Boolean
FaviconImage,Favicon,"",Binary
FieldForcePackageUrl,Url-адрес хранилища пакета FieldForce,"",Text
FileChunkBufferSize,Размер читаемого блока файла,,Integer
FileDetailDefaultIcon,Attachments and notes default icon,"",Lookup
FileExtensionsAllowList,File extensions AllowList,"doc,docx,rtf,odt,pages,pdf,xls,xlsx,xlsm,xlsb,csv,ods,ppt,pptx,ppsx,txt,log,json,md,config,zip,rar,7z,gz,pjp,pjpeg,jfif,webp,tif,bmp,png,jpeg,jpg,gif,ico,xbm,dib,emz,jfif,heic,ai,eps,jpe,cod,ief,ras,cmx,pnm,pbm,pgm,ppm,rgb,xpm,xwd,mp3,wav,mp4,mov,wmv,bpmn,frx,msg,vcf,ics,p7s,p7m,wmz,mso,dwg,mpp,step,vsd,vsdx,psd,gbt,prn,stp,rdp,dtf",Text
FileExtensionsDenyList,File extensions DenyList,"ade,adp,apk,app,appx,appxbundle,asp,aspx,asx,bas,bat,bin,cab,cer,chm,cmd,cnt,com,command,conf,cpl,crt,csh,der,diagcab,dll,dmg,elf,exe,fxp,gadget,grp,hlp,hpj,hta,htc,html,inf,inf1,ins,inx,ipa,iso,isp,isu,its,jar,jnlp,job,js,jse,ksh,lib,lnk,mad,maf,mag,mam,maq,mar,mas,mat,mau,mav,maw,mcf,mda,mdb,mde,mdt,mdw,mdz,msc,msh,msh1,msh1xml,msh2,msh2xml,mshxml,msi,msix,msixbundle,msp,mst,msu,nsh,ops,osd,osx,out,paf,pcd,pif,pl,plg,prf,prg,printerexport,ps1,ps1xml,ps2,ps2xml,psc1,psc2,psd1,psdm1,pst,py,pyc,pyo,pyw,pyz,pyzw,rb,reg,rgs,run,scf,scr,sct,sh,shb,shs,sys,theme,tmp,u3p,url,vb,vbe,vbp,vbs,vbscript,vhd,vhdx,vsmacros,vsw,vxd,webpnp,website,workflow,ws,wsc,wsf,wsh,xbap,xll,xnk,xml",Text
FileImportEntitySaveChunksCount,FileImportEntitySaveChunksCount,"",Integer
FileImportMaxFileSize,Max file size for import in Mb,"",Integer
FileImportMaximumNewTagsInFile,Максимальное количество создаваемых при импорте тегов,"",Integer
 FileImportNewTagCountValidationBatchSize,Количество тегов в одном запросе на проверку лимита создаваемых тегов при импорте,,Integer
FileSecurityMode,File Security Mode,"",Lookup
FinishedTaskColor,Color of completed activity,#A0A0A0,Text
FirebaseDynamicLinksTemplate,Template from Firebase dynamic links service,{0},MediumText
FirstReevaluationWaitingDays,Количество дней ожидания после запроса оценки,"",Integer
FirstSupportLine,"1-я линия поддержки","",Lookup
ForceExternalAccessDataIsolation,Restrict external access to data,"",Boolean
ForceProcessLogging,Force process logging (for debug),"",Boolean
ForceSetNeedProcess,Force set email need processing,"",Boolean
GlobalSearchConfigServiceUrl,Global search config service url adress,"",MediumText
GlobalSearchDefaultEntityWeight,Global search default entity weight,"",Integer
GlobalSearchDefaultPrimaryColumnWeight,Global search default primary column weight,"",Integer
